,,,KvK Start,,,Pass 4 opening,,,,,,,,Pass 5 opening - compare with previous,,,,,,Pass 6 opening - compare with previous,,,,,,Kingsland opening - compare with previous,,,,,,KvK end - comparison with start,,,,,
Rank,Player ID,Name, Power ,Kill Score,Unit Lost, Power , Difference ,Kill Score, Difference , Top Kills ,Unit Lost, Difference , Top Deaths , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference 
61,37393423,General ALPHA," 39,718,068 "," 24,527,954 "," 4,646,005 "," 39,718,068 ", -   ," 24,527,954 ", -   , -   ," 4,646,005 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
62,62705356,Rafiki Jr," 39,493,825 "," 29,456,949 "," 3,021,937 "," 39,695,197 "," 201,372 "," 29,456,949 ", -   , -   ," 3,021,937 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
63,46005845,RickGrimeS," 39,351,082 "," 10,429,905 "," 1,516,838 "," 39,456,482 "," 105,400 "," 10,429,905 ", -   , -   ," 1,516,838 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
64,21872885,NitramX," 39,086,315 "," 4,823,460 "," 2,258,390 "," 39,289,271 "," 202,956 "," 4,823,460 ", -   , -   ," 2,258,390 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
66,33508521,JohnWICK1," 37,526,009 "," 4,809,781 "," 1,686,961 "," 37,781,163 "," 255,154 "," 4,809,781 ", -   , -   ," 1,686,961 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
68,67535192,Dame tu boca," 35,623,730 "," 6,200,696 "," 2,545,289 "," 36,307,574 "," 683,844 "," 6,200,696 ", -   , -   ," 2,545,289 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
69,28469676,Mini Clodo," 35,400,759 "," 11,613,923 "," 5,639,836 "," 35,424,086 "," 23,327 "," 11,613,923 ", -   , -   ," 5,639,836 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
70,64043900,Lemi B Sweet," 35,288,316 "," 2,655,723 "," 2,017,051 "," 35,694,659 "," 406,343 "," 2,655,723 ", -   , -   ," 2,017,051 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
73,41003447,Buddha is life," 31,564,506 "," 11,188,838 "," 6,343,158 "," 31,564,506 ", -   ," 11,188,838 ", -   , -   ," 6,343,158 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
74,62362414,1Clark1," 31,448,215 "," 4,573,613 "," 2,160,377 "," 31,548,815 "," 100,600 "," 4,573,613 ", -   , -   ," 2,160,377 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
75,37783566,WhiteTigger 1," 30,866,799 "," 112,986,369 "," 5,078,886 "," 31,162,071 "," 295,272 "," 112,986,369 ", -   , -   ," 5,078,886 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
76,41377688,showmethemone," 30,846,572 "," 9,060,381 "," 182,706 "," 30,846,572 ", -   ," 9,060,381 ", -   , -   ," 182,706 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
78,21292925,XBlurryFaceX," 30,084,781 "," 31,079,123 "," 2,367,022 "," 30,084,781 ", -   ," 31,079,123 ", -   , -   ," 2,367,022 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
79,46936164,IamNegaN," 29,761,282 "," 8,233,901 "," 3,213,105 "," 29,926,600 "," 165,318 "," 8,233,901 ", -   , -   ," 3,213,105 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
